syn_id,id,name,preferred_name,parent_id,lname
23310,5391.0,sacituzumab,,,sacituzumab
23311,5391.0,sacituzumab govitecan,1.0,,sacituzumab govitecan
23312,5391.0,sacituzumab govitecan-hziy,,,sacituzumab govitecan-hziy
23313,5391.0,trodelvy,,,trodelvy
23314,5391.0,IMMU-132,,,immu-132
23315,5391.0,TROP-2-SN-38,,,trop-2-sn-38
23316,5391.0,hRS7-SN-38-ADC,,,hrs7-sn-38-adc
23317,5392.0,capmatinib,1.0,,capmatinib
23318,5392.0,capmatinib hydrochloride,,,capmatinib hydrochloride
23319,5392.0,capmatinib hydrochloride hydrate,,,capmatinib hydrochloride hydrate
23320,5392.0,tabrecta,,,tabrecta
23321,5392.0,NVP-INC280-NX,,,nvp-inc280-nx
23322,5392.0,INC280,,,inc280
23323,5392.0,INCB-028060,,,incb-028060
23324,5393.0,selpercatinib,1.0,,selpercatinib
23325,5393.0,retevmo,,,retevmo
23326,5393.0,LOXO-292,,,loxo-292
23327,5393.0,LY3527723,,,ly3527723
23328,5394.0,ripretinib,1.0,,ripretinib
23329,5394.0,qinlock,,,qinlock
23330,5394.0,DCC-2618,,,dcc-2618
23331,5395.0,fluoroestradiol F-18,,,fluoroestradiol f-18
23332,5395.0,fluoroestradiol F 18,1.0,,fluoroestradiol f 18
23333,5395.0,fluoroestradiol,,,fluoroestradiol
23334,5395.0,cerianna,,,cerianna
23335,5396.0,flortaucipir F 18,1.0,,flortaucipir f 18
23336,5396.0,flortaucipir (18F),,,flortaucipir (18f)
23337,5396.0,flortaucipir,,,flortaucipir
23338,5396.0,flortaucipir F18,,,flortaucipir f18
23339,5396.0,tauvid,,,tauvid
23340,5396.0,18F-AV-1451,,,18f-av-1451
23341,5396.0,[F-18]T807,,,[f-18]t807
23342,5396.0,LY3191748,,,ly3191748
23343,5397.0,inebilizumab,1.0,,inebilizumab
23344,5397.0,inebilizumab-cdon,,,inebilizumab-cdon
23345,5397.0,uplizna,,,uplizna
23346,5397.0,16C4-aFuc,,,16c4-afuc
23347,5397.0,A-fucosylated anti-CD19 antibody,,,a-fucosylated anti-cd19 antibody
23348,5397.0,anti-CD19 MAb-Viela-Bio,,,anti-cd19 mab-viela-bio
23349,5397.0,MEDI-551,,,medi-551
23350,5397.0,MT-0551,,,mt-0551
23351,5398.0,lurbinectedin,1.0,,lurbinectedin
23352,5398.0,zepzelca,,,zepzelca
23353,5398.0,PM01183,,,pm01183
23354,5398.0,PM-01183,,,pm-01183
23355,5398.0,LY-01017,,,ly-01017
23356,5398.0,PM-1183,,,pm-1183
23357,5398.0,tryptamicidin,,,tryptamicidin
23358,5398.0,zepsyre,,,zepsyre
23359,5399.0,triheptanoin,1.0,,triheptanoin
23360,5399.0,dojolvi,,,dojolvi
23361,5399.0,UX007,,,ux007
23362,5400.0,remimazolam,1.0,,remimazolam
23363,5400.0,remimazolam besylate,,,remimazolam besylate
23364,5400.0,byfavo,,,byfavo
23365,5400.0,CNS 7056,,,cns 7056
23366,5400.0,CNS 7056B,,,cns 7056b
23367,5400.0,ONO-2745BS,,,ono-2745bs
23368,5400.0,ONO-2745,,,ono-2745
23369,5400.0,anerem,,,anerem
23370,5400.0,aptimyda,,,aptimyda
23371,5401.0,fostemsavir,1.0,,fostemsavir
